Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707959917.0691082,0,0,33.914765625,361244,100,698.5282797662979,3029.2371084377414
1707959918.1197534,0,0,26.064375,93938,38.35045128350373,1011.2134350560228,16.969609587736826
1707959919.1314309,0,0,26.087421875,113179,38.256626730351755,1011.2352899628836,16.78735747649739
1707959920.1428592,0,0,26.115546875,130510,38.14535273181782,1011.2407299679961,16.74199276325207
1707959921.1540563,0,0,26.14953125,143985,38.13087218750311,1011.2504645437346,16.660815715618202
1707959922.167295,0,0,26.1813671875,155387,38.200312331491894,1011.2443083408481,16.712152483905346
1707959923.1785846,0,0,26.210078125,163676,38.317588837111266,1011.2489304793082,16.673608303148317
1707959924.1897793,0,1,26.238203125,171494,38.50717363121566,1011.2525896477792,16.643094465323678
1707959925.2009575,0,1,26.2606640625,180096,38.66021828075339,1011.2452020067171,16.704700160590637
1707959926.2121496,0,1,26.2766796875,186464,38.6860329231983,1011.2502276141978,16.66279147375153
1707959927.2233691,0,1,26.2919140625,190636,38.633370099783356,1011.2539728333094,16.631560092396636
1707959928.2366855,0,1,26.304609375,196740,38.550320093997335,1011.2482575251104,16.679220083808076
1707959929.2502453,0,1,26.3118359375,201398,38.44866599097841,1011.2459553148823,16.69841829115967
1707959930.2635396,0,1,26.3243359375,206152,38.37170520733792,1011.2487546108522,16.675074873990468
1707959931.2767813,0,1,26.3407421875,209935,38.31925821330376,1011.2402780696705,16.74576117828039
1707959932.2901049,0,1,26.348359375,214968,38.30802197651809,1011.2509849207703,16.65647628685208
1707959933.3034596,0,1,26.3473828125,218939,38.24775549826089,1011.2476184275536,16.684549535955664
1707959934.3168106,0,1,26.3477734375,223361,38.139558476563806,1011.2517926255274,16.649740833224204
1707959935.3301098,1,2,26.3540234375,224418,38.06208481109212,1011.2461223999375,16.697024962158423
1707959936.3440323,1,2,26.3534375,228750,38.031985074586494,1011.2539991969342,16.631340246471446
1707959937.3574116,1,2,26.3477734375,232926,37.94731762514836,1011.234120120943,16.797112924062073
1707959938.3706985,1,2,26.33390625,234241,37.837844332355544,1011.2202473386789,16.912800360340302
1707959939.383945,1,2,26.320625,238107,37.71652221760414,1011.2073338325027,17.020489388799902
1707959940.3965478,1,2,26.309296875,239482,37.6374369327204,1011.197618539098,17.101508437562014
1707959941.410229,1,2,26.29484375,241750,37.55807170484606,1011.1916209548908,17.151524592912295
1707959942.4249165,1,2,26.274921875,244782,37.49614402711866,1011.1784338419982,17.261497830546936
1707959943.4395142,1,2,26.263203125,246418,37.47099475794656,1011.1521745994619,17.480488867603928
1707959944.4528713,1,2,26.2462109375,250511,37.4692450498212,1011.1349495201889,17.624141284206246
1707959945.4670174,1,2,26.235078125,251461,37.468098848978165,1011.11671804178,17.77618895092634
1707959946.4818776,1,2,26.227265625,253769,37.41942580507231,1011.0950895188953,17.956570313922764
1707959947.4950066,1,2,26.2190625,256119,37.39465378210611,1011.0657540331391,18.201232555373238
1707959948.5083156,1,2,26.2016796875,257711,37.3450232654234,1011.0390552285833,18.42390948618618
1707959949.5230591,1,2,26.18390625,261777,37.30732686186416,1010.9922822165837,18.81402347659113
1707959950.5379171,1,2,26.1602734375,261777,37.26904154274701,1010.9606498359799,19.077864122074374
1707959951.5528927,1,2,26.1356640625,263022,37.242618551438625,1010.9380180556658,19.266636297015587
1707959952.567167,1,2,26.11203125,265336,37.21032860695401,1010.9222842198836,19.397874582002125
1707959953.5820415,1,1,26.08546875,267044,37.201639068182864,1010.899984937685,19.58387907371993
1707959954.5953076,1,1,26.0571484375,269648,37.192771543878315,1010.8765721973641,19.779174803399922
1707959955.6099677,0,0,26.0251171875,269648,37.18352674482409,1010.8506135534479,19.995711290713064
1707959990.8698623,0,0,25.6438671875,151345,39.48899569705205,1010.6623456358004,21.56630071792071
1707959991.8831427,0,0,25.3856640625,175781,39.38880975875514,1010.5182188368951,22.768811327726624
1707959994.9026601,0,0,25.14015625,186464,39.145179737004995,1010.4070588810081,23.696360536866898
1707959995.9147947,0,0,24.9864453125,207441,39.07462052951807,1010.3262486225103,24.370715401341158
1707959996.9283378,0,0,24.879609375,223813,39.01510452632712,1010.2516714637369,24.99309432020859
1707959998.9438808,0,0,24.706953125,230338,38.82824028970638,1010.2190206062401,25.265591676565116
1707960009.4836683,0,0,24.29640625,199580,39.01413720957345,1010.312401199204,24.486275376471127
1707960018.5239122,0,0,23.6973828125,188043,39.42766391656567,1010.2610556208654,24.914777389830626
1707960019.537551,0,0,23.26671875,212762,39.4850227092913,1010.21209088074,25.323426660903095
1707960020.5518653,0,0,22.9286328125,232762,39.55215454654257,1010.1685417534616,25.686891858366863
1707960021.5666163,0,0,22.653828125,247153,39.57768919938184,1010.1511939798946,25.831681575786195
1707960022.5796237,0,0,22.4161328125,259322,39.67348991842583,1010.141820745515,25.90991423693955
1707960023.5943646,0,2,22.213203125,271413,39.71261605389563,1010.1261421065276,26.040775572209167
1707960029.6233978,1,3,21.8770703125,242812,40.68150233276103,1010.1071451377397,26.1993354608093
1707960031.6399257,0,0,21.588203125,251461,41.02722935643955,1010.109284470774,26.181479206833338
1707960033.6562977,0,0,21.344453125,258112,41.34787281733275,1010.1098916333401,26.17641144184556
1707960034.6707296,0,0,21.180390625,271191,41.53735062881872,1010.1099148616102,26.176217563975065
1707960035.6838174,0,0,21.0512890625,283713,41.675861974691514,1010.1112800792795,26.164822598121372
1707960036.6980836,0,0,20.9391796875,290672,41.797980970297665,1010.1054962610278,26.21309807073509
