Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712792214.06,0,0,49.5,3.5,6.0,6.0,25.71525390625,43.74606797979632,1004.731262898539,71.16694847152374,65833.5
1712792216.0,0,0,50.5,4.5,6.5,6.5,25.7723828125,43.532947823284886,1004.7102348211795,71.34322370153288,75217.0
1712792217.95,0,0,50.5,4.5,6.5,6.5,25.83107421875,43.37205078241141,1004.715900357129,71.29572989187571,83850.5
1712792219.99,0,0,49.0,4.0,7.0,7.0,25.88693359375,43.16833855875882,1004.7281222415645,71.19327555869452,91425.5
1712792221.97,0,0,50.5,4.0,7.0,7.0,25.93615234375,42.97623413355455,1004.72944660237,71.18217368790815,100684.5
1712792223.98,0,0,59.5,3.5,6.0,6.0,25.93615234375,42.97623413355455,1004.72944660237,71.18217368790815,100684.5
1712792225.97,0,0,66.0,3.5,6.0,6.0,25.983515625000003,42.77804162779179,1004.7311696513898,71.16772975536801,108667.0
1712792228.03,0,0,66.0,4.0,6.0,6.0,26.0200390625,42.62433407546855,1004.7280571964438,71.19382082034565,116027.5
1712792229.97,0,0,54.0,4.0,6.0,6.0,26.05529296875,42.503964495496845,1004.728896965641,71.18678120248958,122629.0
1712792232.0,0,0,56.5,4.0,6.0,7.0,26.08869140625,42.43499098531986,1004.7361817313749,71.12571456067012,129419.0
1712792233.97,0,0,47.5,4.0,6.0,7.0,26.11818359375,42.37771970003063,1004.737922934486,71.1111184835679,135249.5
1712792236.02,0,0,47.5,4.0,6.0,7.0,26.14787109375,42.308366121857944,1004.7391176865206,71.10110317647175,140335.5
1712792237.94,0,0,47.5,4.0,6.0,7.0,26.1829296875,42.25478872199251,1004.7456588247762,71.04627065254815,146092.5
1712792239.99,0,0,46.5,4.0,6.0,7.0,26.21720703125,42.210219285155844,1004.7491890713038,71.01667779105563,150648.0
1712792241.97,0,0,51.5,4.0,6.0,7.0,26.250507812499997,42.171602011222376,1004.7580184464429,70.94266420170197,154884.5
1712792244.0,0,0,50.5,4.0,7.0,7.0,26.285859375,42.1241427022475,1004.7607101306987,70.92010086421936,159078.5
1712792245.95,0,0,50.5,4.0,7.0,7.0,26.32111328125,42.07970782404507,1004.7546049599275,70.97127817164332,163806.5
1712792248.0,0,0,48.5,4.0,7.0,7.0,26.3583203125,42.02037573006793,1004.7551465642321,70.96673809990718,167631.5
1712792249.97,0,0,62.5,4.0,7.0,7.0,26.39298828125,41.97286848819373,1004.7558382657006,70.96093982144254,170623.5
1712792251.99,0,0,49.0,4.0,7.0,7.0,26.4274609375,41.91023057843206,1004.7700175468946,70.84208099192404,174943.0
1712792253.98,0,0,45.5,4.0,7.0,7.0,26.46662109375,41.84511777015383,1004.7754687952122,70.79638568002076,178035.0
1712792255.98,0,0,45.5,4.0,7.0,8.0,26.497089843749997,41.78206664400499,1004.7778996849102,70.77600882279664,184191.5
1712792257.97,0,0,48.5,4.0,7.0,8.0,26.527851562499997,41.70094343941922,1004.7756257207645,70.79507029054298,190951.0
1712792260.0,0,0,46.0,4.0,7.0,7.5,26.5583203125,41.63189657740656,1004.7763214809921,70.78923806421204,193398.0
1712792261.97,0,0,54.0,4.0,7.0,7.5,26.585078125000003,41.56547544745057,1004.7743883361741,70.80544263813141,196916.5
1712792263.98,0,0,54.0,5.0,8.0,8.0,26.6169140625,41.5237816119008,1004.7704072372828,70.83881425654552,200445.5
1712792265.97,0,0,48.0,5.0,8.0,8.0,26.646503906249997,41.47882771038541,1004.7696510949311,70.84515264509473,202851.5
1712792267.99,0,0,45.0,4.5,7.5,7.5,26.6739453125,41.40348390870028,1004.7688265451178,70.8520644966917,206853.5
1712792269.97,0,0,47.0,4.5,7.5,7.5,26.702753906250003,41.35243734349575,1004.7771471383819,70.78231704521441,208026.5
1712792272.0,0,0,56.0,4.0,6.5,7.0,26.72365234375,41.291476867320256,1004.7768279363347,70.78499270442538,211784.0
